Year,12 Months Ending,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Ticker
2014,12/31/14,46.28,66000,257500,CVX
2015,12/31/15,46.28,68000,243056,CVX
2016,12/31/16,46.28,66000,252500,CVX
2017,12/31/17,48.76,63000,237222,CVX
2018,12/31/18,48.76,66000,270278,CVX
2019,12/31/19,48.76,60000,261944,CVX
current,2/10/21,48.76,,,CVX
2005,12/31/2005,,,,D
2006,12/31/2006,,,,D
2007,12/31/2007,15.86,,,D
2008,12/31/2008,26.21,,,D
2009,12/31/2009,29.66,,,D
2010,12/31/2010,29.66,,,D
2011,12/31/2011,31.72,,,D
2012,12/31/2012,31.72,,,D
2013,12/31/2013,34.48,,,D
2014,12/31/2014,35.17,,,D
2015,12/31/2015,42.76,46340.7,,D
2016,12/31/2016,44.83,48117.3,,D
2017,12/31/2017,60,41649.5,133547,D
2018,12/31/2018,60,39408.1,133547,D
2019,12/31/2019,60,31890.8,172491,D
current,2/10/2021,60,,,D
2005,12/31/2005,,,,DTE
2006,12/31/2006,,,,DTE
2007,12/31/2007,12.41,43600,,DTE
2008,12/31/2008,8.28,41800,,DTE
2009,12/31/2009,13.79,,,DTE
2010,12/31/2010,30.34,39920,,DTE
2011,12/31/2011,30.34,,,DTE
2012,12/31/2012,30.34,,,DTE
2013,12/31/2013,39.41,,,DTE
2014,12/31/2014,47.59,35600,118000,DTE
2015,12/31/2015,47.59,33900,103673,DTE
2016,12/31/2016,55.86,32000,93087,DTE
2017,12/31/2017,58.62,31857,102600,DTE
2018,12/31/2018,64.83,34246,108380,DTE
2019,12/31/2019,60.69,30714,108308,DTE
current,2/10/2021,60.69,,,DTE
2005,12/31/2005,,,,DUK
2006,12/31/2006,22.76,,,DUK
2007,12/31/2007,31.72,,342779,DUK
2008,12/31/2008,41.38,,327939,DUK
2009,12/31/2009,53.79,,406069,DUK
2010,12/31/2010,56.55,,425409,DUK
2011,12/31/2011,57.93,143835,449849,DUK
2012,12/31/2012,59.31,135939,456003,DUK
2013,12/31/2013,65.52,124472,416088,DUK
2014,12/31/2014,57.93,125893,460691,DUK
2015,12/31/2015,62.76,101131,374656,DUK
2016,12/31/2016,55.17,98115.6,355868,DUK
2017,12/31/2017,53.79,96543.4,341500,DUK
2018,12/31/2018,57.93,96547.1,380260,DUK
2019,12/31/2019,58.62,85517.5,334020,DUK
current,2/10/2021,58.62,,,DUK
