Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption
2008,SRE,19.3,,
2009,SRE,32.4,10300.0,
2010,SRE,35.9,9900.0,
2011,SRE,35.9,8100.0,
2012,SRE,35.9,7700.0,
2013,SRE,37.9,7600.0,
2014,SRE,40.7,6700.0,
2015,SRE,44.8,8200.0,
2016,SRE,47.6,4700.0,
2017,SRE,47.6,5100.0,
2018,SRE,45.5,6000.0,
2019,SRE,58.6,5700.0,20209.7
2005,VLO,,,
2006,VLO,,,
2007,VLO,1.6,,
2008,VLO,8.5,32400.0,
2009,VLO,6.2,,
2010,VLO,6.2,,
2011,VLO,8.5,27400.0,
2012,VLO,10.1,,
2013,VLO,10.1,,
2014,VLO,10.1,,
2015,VLO,11.6,,
2016,VLO,13.2,,
2017,VLO,14.7,,
2018,VLO,14.7,,
2019,VLO,27.1,24800.0,
2005,WEC,,,
2006,WEC,39.3,20791.0,
2007,WEC,38.6,21925.0,
2008,WEC,37.2,21680.0,
2009,WEC,33.8,18685.0,
2010,WEC,35.2,21589.0,
2011,WEC,33.1,30220.0,
2012,WEC,33.1,26135.0,
2013,WEC,33.1,30550.0,
2014,WEC,33.1,29762.0,
2015,WEC,33.1,31207.0,
2016,WEC,33.1,29058.0,
2017,WEC,45.5,30206.3,102422.0
2018,WEC,49.7,27029.0,97533.0
2019,WEC,47.6,22067.0,88000.0
2005,WMB,,,
2006,WMB,,,
2007,WMB,20.7,,
2008,WMB,19.0,,
2009,WMB,24.0,15779.1,
2010,WMB,10.7,,
2011,WMB,8.3,,
2012,WMB,8.3,,
2013,WMB,8.3,,
2014,WMB,14.9,,
2015,WMB,16.5,,
2016,WMB,24.0,13270.0,
2017,WMB,24.0,12240.0,
2018,WMB,43.0,10700.0,46535.7
2019,WMB,45.5,11180.0,47577.9
2005,XEL,,,
2006,XEL,15.2,,
2007,XEL,28.3,,
2008,XEL,33.8,,
2009,XEL,37.9,,
2010,XEL,42.8,,
2011,XEL,35.9,,
2012,XEL,40.7,,
2013,XEL,50.3,53075.7,
2014,XEL,45.5,52982.8,
2015,XEL,57.2,52140.4,
2016,XEL,57.2,48472.9,
2017,XEL,53.1,47194.4,
2018,XEL,64.1,47234.7,179760.0
2019,XEL,,44055.9,
2005,XOM,,,
2006,XOM,43.8,145500.0,433650.0
2007,XOM,46.3,141000.0,430556.0
2008,XOM,46.3,126000.0,416667.0
2009,XOM,52.9,128000.0,405639.0
2010,XOM,54.6,132000.0,408333.0
2011,XOM,54.6,136000.0,430556.0
2012,XOM,55.4,132000.0,416667.0
2013,XOM,55.4,135000.0,416667.0
2014,XOM,55.4,121000.0,444444.0
2015,XOM,55.4,118000.0,472222.0
2016,XOM,53.7,120000.0,416667.0
2017,XOM,53.7,117000.0,416667.0
2018,XOM,53.7,119000.0,416667.0
2019,XOM,56.2,114000.0,416667.0
