Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales,cusip,Company,Total_Assets,Net_Income,Total_Sales,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin,Annual Return,Logarithm_Total_Assets,Logarithm_Total_Sales,Profitable
2005,AES,,,,0.0,0.0,0.0,,,,,00130H105,AES CORP (THE),29432.0,630.0,11086.0,874761.0,0.0,0.0,0.0,2.1405273172057626,5.68284322569006,,10.28983779678461,9.31343832997975,True
2006,AES,,,,0.0,0.0,0.0,,,,,00130H105,AES CORP (THE),31201.0,204.0,11564.0,874761.0,4.311744542666429,6.010464800217452,-67.61904761904762,0.6538251979103233,1.7640954686959531,,10.348205424565991,9.355652103136237,True
2007,AES,3.1,,,0.0,0.0,0.0,,,,,00130H105,AES CORP (THE),34453.0,-95.0,13588.0,874761.0,17.502594258042194,10.422742860805734,-146.56862745098042,-0.2757379618610861,-0.6991463055637327,,10.447351355378917,9.516942329280475,False
2008,AES,3.1,,,0.0,0.0,0.0,,,,,00130H105,AES CORP (THE),34806.0,1234.0,16102.0,874761.0,18.501619075655,1.02458421617857,-1398.9473684210527,3.545365741538816,7.663644267792821,,10.45754506469412,9.686698766859926,True
2009,AES,8.5,,,174.19354838709674,0.0,0.0,,,,,00130H105,AES CORP (THE),39535.0,658.0,14119.0,874761.0,-12.31524034281456,13.586737918749648,-46.677471636952994,1.664348046035159,4.66038671294001,,10.584941634505029,9.555276687009526,True
2010,AES,8.5,,,0.0,0.0,0.0,,,,,00130H105,AES CORP (THE),40511.0,9.0,16647.0,874761.0,17.904950775550677,2.468698621474652,-98.6322188449848,0.0222161881957986,0.0540637952784285,,10.60932882115496,9.719985298994011,True
2011,AES,19.4,61186.0,,128.23529411764704,0.0,0.0,1349.7011007433878,3542.0863725830727,,,00130H105,AES CORP (THE),45333.0,58.0,17274.0,874761.0,3.766444404397196,11.9029399422379,544.4444444444445,0.1279421172214501,0.3357647331249276,,10.72179052308187,9.756957759840232,True
2012,AES,25.6,80854.0,,31.95876288659796,32.14460824371588,0.0,1932.918957685872,4480.438878421811,,,00130H105,AES CORP (THE),41830.0,-912.0,18046.0,874761.0,4.469144378835255,-7.727262700461035,-1672.4137931034484,-2.180253406645948,-5.053751523883409,0.1982695130699732,10.641369064436244,9.800679332554449,False
2013,AES,29.5,75449.0,,15.234375,-6.6848888119326215,0.0,1867.04115216154,4747.9076206657855,,,00130H105,AES CORP (THE),40411.0,114.0,15891.0,874761.0,-11.941704532860465,-3.3923021754721505,-112.5,0.2821014080324664,0.7173872003020577,0.1201567522500899,10.606857304116248,9.673508190212637,True
2014,AES,51.2,74972.9,247819.0,73.55932203389833,-0.6310222799506993,0.0,1924.059436431761,4372.617520121311,6359.877842221424,14453.458532602355,00130H105,AES CORP (THE),38966.0,769.0,17146.0,874761.0,7.897552073500713,-3.5757590754992408,574.561403508772,1.9735153723759176,4.485011081301761,0.3528345331088098,10.570444750005832,9.749520189238702,True
2015,AES,48.8,68634.1,211662.0,-4.687500000000011,-8.454788330183295,-14.590083891872696,1862.5264586160108,4616.850531413965,5743.880597014925,14237.992735100228,00130H105,AES CORP (THE),36850.0,306.0,14866.0,874761.0,-13.297562113612504,-5.430375198891346,-60.20806241872562,0.8303934871099049,2.058388268532221,0.0259433619574851,10.514610897617482,9.60683200528524,True
2016,AES,43.4,70273.0,,-11.0655737704918,2.387880077104532,0.0,1945.596500456824,5172.456940968645,,,00130H105,AES CORP (THE),36119.0,-1130.0,13586.0,874761.0,-8.610251580788375,-1.98371777476255,-469.281045751634,-3.12854730197403,-8.317385543942294,0.1053906684251082,10.49457432165487,9.516795129751248,False
2017,AES,45.7,63497.0,,5.299539170506917,-9.642394660822797,0.0,1917.643150519449,6030.104463437797,,,00130H105,AES CORP (THE),33112.0,-1161.0,10530.0,874761.0,-22.4937435595466,-8.325258174368066,2.743362831858409,-3.506281710558106,-11.025641025641026,0.1258548162774573,10.407651033428568,9.26198360512802,False
2018,AES,43.4,54154.0,,-5.03282275711161,-14.714080980203793,0.0,1665.200947080348,5044.150521609538,,,00130H105,AES CORP (THE),32521.0,1203.0,10736.0,874761.0,1.9563152896486136,-1.7848514133848803,-203.6175710594315,3.699148242673964,11.205290611028316,0.1751698442343476,10.389641313496467,9.281357859211465,True
2019,AES,49.6,49092.0,61377.0,14.285714285714302,-9.347416626657312,0.0,1458.987161198288,4818.137206791638,1824.0905848787447,6023.849249190303,00130H105,AES CORP (THE),33648.0,303.0,10189.0,874761.0,-5.095007451564825,3.465453091848336,-74.81296758104739,0.9004992867332383,2.973795269408185,0.407672768922019,10.42370889794248,9.229063985974284,True
2005,APA,,,,0.0,0.0,0.0,,,,,037411105,APACHE CORP,19271.796,2623.73,7457.291,6769.0,0.0,0.0,0.0,13.614351251953892,35.183419823633,,9.866397958933575,8.916947490518476,True
2006,APA,,,,0.0,0.0,0.0,,,,,037411105,APACHE CORP,24308.175,2552.451,8074.253,6769.0,8.27327242560334,26.133417975159155,-2.716704843867324,10.50038104464856,31.612224685057555,,10.09856799250529,8.996435636071814,True
2007,APA,1.7,,,0.0,0.0,0.0,,,,,037411105,APACHE CORP,28634.651,2812.358,9961.982,6769.0,23.37961171144873,17.798440236669364,10.182644054675304,9.821520087672798,28.23090826704967,,10.262372836871725,9.206531326765504,True
2008,APA,7.4,90999.8,,335.2941176470589,0.0,0.0,3117.874591613207,7381.650587746968,,,037411105,APACHE CORP,29186.485,711.954,12327.839,6769.0,23.748858409902773,1.92715462116162,-74.68480186377411,2.439327654563405,5.775172761422338,,10.281461038645984,9.41961531721318,True
2009,APA,18.2,10985.0,29536.2,145.9459459459459,-87.92854489790088,0.0,389.7360449217181,1281.2098820062265,1047.9127692323032,3444.885873182732,037411105,APACHE CORP,28185.743,-284.398,8573.927,6769.0,-30.45068969508769,-3.428785617726837,-139.94612011450178,-1.0090136704929156,-3.3170098135895025,,10.246571561708045,9.056481133009244,False
2010,APA,28.9,9860.0,30400.0,58.79120879120878,-10.241238051888937,2.9245468272831365,227.0581462291307,809.3244685217106,700.0575705238917,2495.280308626775,037411105,APACHE CORP,43425.0,3032.0,12183.0,6769.0,42.09358208904741,54.06725307897684,-1166.1115760307737,6.982153137593553,24.887137814988098,,10.678790591109305,9.407796816354407,True
2011,APA,33.9,11760.0,25200.0,17.301038062283737,19.26977687626774,-17.105263157894733,225.93225874622965,699.5835812016657,484.1405544562064,1499.1076740035694,037411105,APACHE CORP,52051.0,4584.0,16810.0,6769.0,37.979151276368704,19.864133563615425,51.18733509234828,8.806747228679564,27.26948245092208,,10.85997928615443,9.72972922640266,True
2012,APA,31.4,10766.0,10852.6,-7.374631268436582,-8.452380952380956,-56.93412698412699,177.25603832918978,635.2746798843453,178.68185784612345,640.3847288605652,037411105,APACHE CORP,60737.0,2001.0,16947.0,6769.0,0.8149910767400348,16.687479587327815,-56.34816753926701,3.294532163261274,11.807399539741548,0.1982695130699732,11.014308346533742,9.737846105993372,True
