,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC,Ratio of GHG Emissions to Total Assets,Ratio of GHG Emissions to Total Sales,Ratio of Total Energy Consumption to Total Assets,Ratio of Total Energy Consumption to Total Sales
271,2006,EOG,,,,0.0,0.0,0.0,,,,
272,2007,EOG,1.7,,,0.0,0.0,0.0,,,,
273,2008,EOG,6.6,,,288.2352941176471,0.0,0.0,,,,
274,2009,EOG,6.6,,,0.0,0.0,0.0,,,,
275,2010,EOG,6.6,,,0.0,0.0,0.0,,,,
276,2011,EOG,7.4,,,12.121212121212132,0.0,0.0,,,,
277,2012,EOG,9.1,,,22.97297297297296,0.0,0.0,,,,
278,2013,EOG,9.1,,,0.0,0.0,0.0,,,,
279,2014,EOG,15.7,,,72.52747252747254,0.0,0.0,,,,
280,2015,EOG,15.7,,,0.0,0.0,0.0,,,,
281,2016,EOG,17.4,,,10.828025477707005,0.0,0.0,,,,
282,2017,EOG,30.6,3300.0,,75.86206896551727,0.0,0.0,110.61547185979268,293.96552906757876,,
283,2018,EOG,30.6,5405.6,,0.0,63.80606060606062,0.0,159.29523469260198,317.7670807741863,,
284,2019,EOG,34.7,5300.0,,13.398692810457513,-1.9535296729317864,0.0,142.76245017859853,309.54324149711,,
285,2005,ES,,,,0.0,0.0,0.0,,,,
286,2006,ES,,,,0.0,0.0,0.0,,,,
287,2007,ES,,,,0.0,0.0,0.0,,,,
288,2008,ES,15.2,,,0.0,0.0,0.0,,,,
289,2009,ES,15.2,,,0.0,0.0,0.0,,,,
290,2010,ES,25.5,,,67.76315789473686,0.0,0.0,,,,
291,2011,ES,27.6,,,8.235294117647074,0.0,0.0,,,,
292,2012,ES,31.0,1711.0,,12.318840579710134,0.0,0.0,60.45333144141376,272.7220417269506,,
293,2013,ES,42.1,1962.0,6487.7,35.80645161290323,14.669783752191702,0.0,70.58687155423549,268.72280243094156,233.40797481264707,888.5794726458814
294,2014,ES,45.5,1799.2,6936.5,8.076009501187652,-8.297655453618757,6.917705812537567,60.420495349331176,232.39905263027367,232.94062138207855,895.9737819974952
295,2015,ES,53.1,1623.3,6750.2,16.70329670329671,-9.77656736327257,-2.6857925466733934,53.08317845970752,204.06477727296897,220.73681466070207,848.5665370221125
296,2016,ES,53.1,852.6,4169.4,0.0,-47.47736093143596,-38.232941246185305,26.59955069034819,111.6095827155164,130.07760573344797,545.7952078044499
297,2017,ES,54.5,713.4,3170.0,2.6365348399246757,-16.326530612244905,-23.969875761500447,19.696090483408984,92.02843361259202,87.51977408523477,408.9292606558967
298,2018,ES,53.1,169.4,603.8,-2.5688073394495414,-76.25455564900476,-80.95268138801262,4.429770821334948,20.051606253212963,15.789230353731059,71.47083740076734
299,2019,ES,59.3,128.8,374.7,11.67608286252353,-23.966942148760328,-37.9430274925472,3.1319975250410863,15.105899627864758,9.111486588764713,43.945501479510284
300,2005,ETR,12.4,,,0.0,0.0,0.0,,,,
301,2006,ETR,16.6,,,33.8709677419355,0.0,0.0,,,,
302,2007,ETR,24.1,32600.0,,45.18072289156627,0.0,0.0,968.9979508962963,2838.633770790598,,
303,2008,ETR,25.5,33187.0,,5.809128630705396,1.8006134969325238,0.0,906.3321668201754,2534.5668576686476,,
304,2009,ETR,38.6,30409.2,42640.8,51.37254901960784,-8.37014493627023,0.0,813.8506083713414,2829.907916226566,1141.2086152033166,3968.191779929553
305,2010,ETR,37.2,34000.0,7138.3,-3.626943005181338,11.808268550307144,-83.25946042288138,878.8873575569165,2959.719007759426,184.52240071907462,621.3930056790914
306,2011,ETR,33.8,34800.0,,-9.139784946236574,2.35294117647058,0.0,855.0011634649453,3099.098206949051,,
307,2012,ETR,33.8,34800.0,,0.0,0.0,0.0,805.5089031649139,3377.9589537218653,,
308,2013,ETR,35.2,34200.0,,4.142011834319548,-1.7241379310344862,0.0,787.9014098505093,3002.38426181774,,
309,2014,ETR,37.2,34185.3,,5.681818181818188,-0.04298245614033913,0.0,734.7276321835088,2735.935665379557,,
310,2015,ETR,35.9,31843.3,,-3.4946236559139865,-6.850897900559605,0.0,713.2128542129658,2765.7956905482215,,
311,2016,ETR,33.8,35200.0,,-5.84958217270195,10.541306962532149,0.0,766.8104566979302,3245.542335195371,,
312,2017,ETR,36.6,33100.0,,8.284023668639072,-5.9659090909090935,0.0,708.6709574159622,2988.8533828357286,,
313,2018,ETR,38.6,36500.0,,5.464480874316946,10.271903323262844,0.0,756.0838963948802,3315.3330429162143,,
314,2019,ETR,40.0,34400.0,,3.626943005181338,-5.753424657534245,0.0,665.0695716905559,3162.1503835991757,,
315,2005,EVRG,,,,0.0,0.0,0.0,,,,
316,2006,EVRG,,,,0.0,0.0,0.0,,,,
317,2007,EVRG,,,,0.0,0.0,0.0,,,,
318,2008,EVRG,,,,0.0,0.0,0.0,,,,
319,2009,EVRG,,,,0.0,0.0,0.0,,,,
320,2010,EVRG,,,,0.0,0.0,0.0,,,,
321,2011,EVRG,,,,0.0,0.0,0.0,,,,
322,2012,EVRG,,,,0.0,0.0,0.0,,,,
323,2013,EVRG,,,,0.0,0.0,0.0,,,,
324,2014,EVRG,,,,0.0,0.0,0.0,,,,
325,2015,EVRG,,,,0.0,0.0,0.0,,,,
326,2016,EVRG,,,,0.0,0.0,0.0,,,,
327,2017,EVRG,,,,0.0,0.0,0.0,,,,
328,2018,EVRG,26.2,29742.9,,0.0,0.0,0.0,1161.9182673714065,6840.43605252869,,
329,2019,EVRG,27.6,26499.4,,5.343511450381677,-10.905123575710507,0.0,1020.1532959396978,5147.713586386417,,
330,2005,EXC,14.5,,,0.0,0.0,0.0,,,,
331,2006,EXC,22.8,,,57.24137931034483,0.0,0.0,,,,
332,2007,EXC,26.2,,,14.912280701754387,0.0,0.0,,,,
333,2008,EXC,28.3,,,8.015267175572527,0.0,0.0,,,,
334,2009,EXC,42.1,8893.0,,48.76325088339222,0.0,0.0,180.82553883692557,513.5119528813951,,
335,2010,EXC,43.5,9268.0,,3.325415676959609,4.2167997301248095,0.0,177.41194486983156,497.1036258313667,,
336,2011,EXC,43.5,6600.0,,0.0,-28.787224859732408,0.0,119.79960792855587,348.76347495244136,,
337,2012,EXC,46.9,22497.0,,7.8160919540229745,240.86363636363637,0.0,286.3889808284747,957.7674656222061,,
338,2013,EXC,48.3,18697.0,,2.985074626865658,-16.89114104102769,0.0,233.93473800110104,751.2455801992928,,
339,2014,EXC,60.7,16786.0,88591.3,25.67287784679091,-10.220891052040438,0.0,193.35591033704242,611.980021145503,1020.4725044347686,3229.840679572715
340,2015,EXC,55.9,7677.0,64944.5,-7.907742998352562,-54.265459311330865,-26.692011518061033,80.48519667868825,260.705674601827,680.8741508009729,2205.47084592658
341,2016,EXC,58.6,9723.0,82392.5,4.830053667262968,26.651035560765933,26.866016367821754,84.6184641091694,310.04464285714283,717.0551068718235,2627.311862244898
342,2017,EXC,64.1,10200.0,72702.2,9.385665529010234,4.905893242826287,-11.76114330794672,87.40359897172236,304.1961170260356,622.9837189374465,2168.2085234559063
343,2018,EXC,59.3,9526.0,75006.7,-7.48829953198128,-6.607843137254898,3.1697802817521437,79.60490030585129,264.72141169931916,626.8004278575368,2084.3879394192027
344,2019,EXC,49.7,9395.0,66356.9,-16.18887015177065,-1.3751837077472184,-11.532036471408558,75.17383198508526,272.8091062198734,530.9528953327412,1926.8511527963294
345,2005,FANG,,,,0.0,0.0,0.0,,,,
346,2006,FANG,,,,0.0,0.0,0.0,,,,
347,2007,FANG,,,,0.0,0.0,0.0,,,,
348,2008,FANG,,,,0.0,0.0,0.0,,,,
349,2009,FANG,,,,0.0,0.0,0.0,,,,
350,2010,FANG,,,,0.0,0.0,0.0,,,,
351,2011,FANG,,,,0.0,0.0,0.0,,,,
352,2012,FANG,,,,0.0,0.0,0.0,,,,
353,2013,FANG,,,,0.0,0.0,0.0,,,,
354,2014,FANG,,,,0.0,0.0,0.0,,,,
355,2015,FANG,3.9,,,0.0,0.0,0.0,,,,
356,2016,FANG,14.0,,,258.974358974359,0.0,0.0,,,,
357,2017,FANG,24.0,,,71.42857142857142,0.0,0.0,,,,
358,2018,FANG,24.0,,,0.0,0.0,0.0,,,,
359,2019,FANG,26.4,,,9.999999999999986,0.0,0.0,,,,
360,2005,FE,,,,0.0,0.0,0.0,,,,
361,2006,FE,,,,0.0,0.0,0.0,,,,
362,2007,FE,11.7,,,0.0,0.0,0.0,,,,
363,2008,FE,9.7,,,-17.0940170940171,0.0,0.0,,,,
364,2009,FE,13.1,,,35.05154639175259,0.0,0.0,,,,
365,2010,FE,13.1,,,0.0,0.0,0.0,,,,
366,2011,FE,13.1,,,0.0,0.0,0.0,,,,
367,2012,FE,13.1,,,0.0,0.0,0.0,,,,
368,2013,FE,13.1,,,0.0,0.0,0.0,,,,
369,2014,FE,13.1,,,0.0,0.0,0.0,,,,
370,2015,FE,17.2,,,31.29770992366412,0.0,0.0,,,,
371,2016,FE,31.7,46333.4,,84.30232558139534,0.0,0.0,1073.8249745063501,3181.8019502815546,,
372,2017,FE,37.9,42354.9,,19.558359621451093,-8.586678292549221,0.0,1002.3167759187827,3022.75906365972,,
373,2018,FE,47.6,32874.7,203527.0,25.59366754617416,-22.38277035242676,0.0,820.575094226593,2919.3410887132577,5080.17372638095,18073.616907912263
374,2019,FE,,17935.5,,0.0,-45.442848147663696,0.0,423.9970686272192,1625.3285002265518,,
375,2005,FTI,,,,0.0,0.0,0.0,,,,
376,2006,FTI,,,,0.0,0.0,0.0,,,,
377,2007,FTI,,,,0.0,0.0,0.0,,,,
378,2008,FTI,,,,0.0,0.0,0.0,,,,
379,2009,FTI,,,,0.0,0.0,0.0,,,,
380,2010,FTI,,,,0.0,0.0,0.0,,,,
