,gvkey,datadate,fyear,tic,cusip,conm,at,ni,sale,cik,Change_in_Sales,Change_in_Assets,Change_in_NI,ROA,Profit_Margin
763,179437,20121231,2012,AWK,30420103,AMERICAN WATER WORKS CO INC,13722.84,358.223,2876.889,1410636,7.900763473,-0.628568023,15.6165984,2.610414462,12.45174909
764,179437,20131231,2013,AWK,30420103,AMERICAN WATER WORKS CO INC,14026.829,369.283,2901.858,1410636,0.867916698,2.215204724,3.087462279,2.632690539,12.7257433
765,179437,20141231,2014,AWK,30420103,AMERICAN WATER WORKS CO INC,15056.084,423.108,3011.328,1410636,3.772410642,7.33775966,14.57554233,2.810212802,14.05054514
766,179437,20151231,2015,AWK,30420103,AMERICAN WATER WORKS CO INC,16120,476,3159,1410636,4.903882938,7.066352712,12.50082721,2.952853598,15.06805951
767,179437,20161231,2016,AWK,30420103,AMERICAN WATER WORKS CO INC,17264,468,3302,1410636,4.526748971,7.096774194,-1.680672269,2.710843373,14.17322835
768,179437,20171231,2017,AWK,30420103,AMERICAN WATER WORKS CO INC,18206,426,3357,1410636,1.665657177,5.456441149,-8.974358974,2.339887949,12.6899017
769,179437,20181231,2018,AWK,30420103,AMERICAN WATER WORKS CO INC,19901,567,3440,1410636,2.472445636,9.310117544,33.09859155,2.84910306,16.48255814
770,179437,20191231,2019,AWK,30420103,AMERICAN WATER WORKS CO INC,21327,621,3610,1410636,4.941860465,7.165469072,9.523809524,2.911801941,17.20221607
697,32106,20141231,2014,BKR,05722G100,BAKER HUGHES CO,172.517,-23119,27.253,1701605,0,0,0,-13400.99816,-84831.02778
698,32106,20151231,2015,BKR,05722G100,BAKER HUGHES CO,172.517,-23119,27.253,1701605,0,0,0,-13400.99816,-84831.02778
699,32106,20161231,2016,BKR,05722G100,BAKER HUGHES CO,172.517,-23119,27.253,1701605,0,0,0,-13400.99816,-84831.02778
700,32106,20171231,2017,BKR,05722G100,BAKER HUGHES CO,57050,36,17259,1701605,63228.80784,32969.20477,-100.1557161,0.063102542,0.208586824
701,32106,20181231,2018,BKR,05722G100,BAKER HUGHES CO,52439,195,22877,1701605,32.55113274,-8.082383874,441.6666667,0.371860638,0.852384491
702,32106,20191231,2019,BKR,05722G100,BAKER HUGHES CO,53369,128,23838,1701605,4.20072562,1.773489197,-34.35897436,0.239839607,0.536957798
91,3439,20051231,2005,CMS,125896100,CMS ENERGY CORP,16020,-79,6288,811156,0,0,0,-0.493133583,-1.256361323
92,3439,20061231,2006,CMS,125896100,CMS ENERGY CORP,15371,-74,6810,811156,8.301526718,-4.051186017,-6.329113924,-0.481426062,-1.086637298
93,3439,20071231,2007,CMS,125896100,CMS ENERGY CORP,14196,-213,6464,811156,-5.080763583,-7.644265175,187.8378378,-1.500422654,-3.295173267
94,3439,20081231,2008,CMS,125896100,CMS ENERGY CORP,14901,300,6821,811156,5.52289604,4.966187658,-240.8450704,2.013287699,4.398182085
95,3439,20091231,2009,CMS,125896100,CMS ENERGY CORP,15256,229,6205,811156,-9.030933881,2.382390444,-23.66666667,1.501048768,3.690572119
96,3439,20101231,2010,CMS,125896100,CMS ENERGY CORP,15616,340,6432,811156,3.658340048,2.35972732,48.47161572,2.177254098,5.286069652
97,3439,20111231,2011,CMS,125896100,CMS ENERGY CORP,16452,415,6503,811156,1.103855721,5.353483607,22.05882353,2.522489667,6.381669998
98,3439,20121231,2012,CMS,125896100,CMS ENERGY CORP,17131,382,6312,811156,-2.937105951,4.127157792,-7.951807229,2.229875664,6.051964512
99,3439,20131231,2013,CMS,125896100,CMS ENERGY CORP,17416,452,6566,811156,4.024081115,1.663650692,18.32460733,2.595314653,6.883947609
100,3439,20141231,2014,CMS,125896100,CMS ENERGY CORP,19185,477,7179,811156,9.335973195,10.1573266,5.530973451,2.486317435,6.64437944
101,3439,20151231,2015,CMS,125896100,CMS ENERGY CORP,20340,523,6456,811156,-10.07104053,6.020328382,9.64360587,2.571288102,8.100991326
102,3439,20161231,2016,CMS,125896100,CMS ENERGY CORP,21622,551,6399,811156,-0.882899628,6.302851524,5.353728489,2.548330404,8.610720425
103,3439,20171231,2017,CMS,125896100,CMS ENERGY CORP,23050,460,6583,811156,2.875449289,6.604384423,-16.5154265,1.995661605,6.98769558
104,3439,20181231,2018,CMS,125896100,CMS ENERGY CORP,24529,657,6873,811156,4.405286344,6.4164859,42.82608696,2.678462228,9.559144478
105,3439,20191231,2019,CMS,125896100,CMS ENERGY CORP,26837,680,6845,811156,-0.407391241,9.409270659,3.500761035,2.533815255,9.934258583
232,5742,20051231,2005,CNP,15189T107,CENTERPOINT ENERGY INC,17116,252,9722,1130310,0,0,0,1.472306614,2.592059247
233,5742,20061231,2006,CNP,15189T107,CENTERPOINT ENERGY INC,17633,432,9319,1130310,-4.145237605,3.020565553,71.42857143,2.449951795,4.635690525
234,5742,20071231,2007,CNP,15189T107,CENTERPOINT ENERGY INC,17872,399,9623,1130310,3.262152591,1.355413146,-7.638888889,2.232542525,4.146316118
235,5742,20081231,2008,CNP,15189T107,CENTERPOINT ENERGY INC,19676,447,11322,1130310,17.65561675,10.09400179,12.03007519,2.271803212,3.948065713
236,5742,20091231,2009,CNP,15189T107,CENTERPOINT ENERGY INC,19773,372,8281,1130310,-26.85921215,0.492986379,-16.77852349,1.881353361,4.492211086
237,5742,20101231,2010,CNP,15189T107,CENTERPOINT ENERGY INC,20111,442,8785,1130310,6.086221471,1.709401709,18.8172043,2.197802198,5.031303358
238,5742,20111231,2011,CNP,15189T107,CENTERPOINT ENERGY INC,21703,1357,8450,1130310,-3.813318156,7.916065835,207.0135747,6.252591808,16.0591716
239,5742,20121231,2012,CNP,15189T107,CENTERPOINT ENERGY INC,22871,417,7452,1130310,-11.81065089,5.381744459,-69.27044952,1.823269643,5.595813205
240,5742,20131231,2013,CNP,15189T107,CENTERPOINT ENERGY INC,21870,311,8106,1130310,8.776167472,-4.376721613,-25.41966427,1.422039323,3.836664199
241,5742,20141231,2014,CNP,15189T107,CENTERPOINT ENERGY INC,23200,611,9226,1130310,13.81692573,6.081390032,96.46302251,2.63362069,6.622588337
242,5742,20151231,2015,CNP,15189T107,CENTERPOINT ENERGY INC,21334,-692,7386,1130310,-19.94363755,-8.043103448,-213.2569558,-3.243648636,-9.369076631
243,5742,20161231,2016,CNP,15189T107,CENTERPOINT ENERGY INC,21829,432,7528,1130310,1.922556187,2.320239993,-162.4277457,1.979018737,5.738575983
244,5742,20171231,2017,CNP,15189T107,CENTERPOINT ENERGY INC,22736,1792,9614,1130310,27.7098831,4.155023134,314.8148148,7.881773399,18.63948409
245,5742,20181231,2018,CNP,15189T107,CENTERPOINT ENERGY INC,27009,368,10589,1130310,10.14146037,18.79398311,-79.46428571,1.362508793,3.475304561
246,5742,20191231,2019,CNP,15189T107,CENTERPOINT ENERGY INC,35439,791,12301,1130310,16.16772122,31.21181828,114.9456522,2.232004289,6.430371515
652,20548,20051231,2005,COG,127097103,CABOT OIL & GAS CORP,1495.37,148.445,682.797,858470,0,0,0,9.926974595,21.74072235
653,20548,20061231,2006,COG,127097103,CABOT OIL & GAS CORP,1834.491,321.175,761.988,858470,11.59802987,22.6780663,116.3595945,17.50758112,42.1496139
654,20548,20071231,2007,COG,127097103,CABOT OIL & GAS CORP,2208.594,167.423,732.17,858470,-3.913184985,20.39274109,-47.87172102,7.58052408,22.86668397
655,20548,20081231,2008,COG,127097103,CABOT OIL & GAS CORP,3701.664,211.29,945.791,858470,29.17642078,67.60273731,26.20129851,5.707973495,22.34003073
656,20548,20091231,2009,COG,127097103,CABOT OIL & GAS CORP,3683.401,148.343,879.276,858470,-7.032737677,-0.49337271,-29.79175541,4.027337778,16.87103936
657,20548,20101231,2010,COG,127097103,CABOT OIL & GAS CORP,4005.031,103.386,844.035,858470,-4.007956546,8.731875785,-30.30611488,2.58140324,12.24901811
658,20548,20111231,2011,COG,127097103,CABOT OIL & GAS CORP,4331.493,122.408,979.864,858470,16.09281606,8.151297705,18.39900954,2.826000181,12.49234588
659,20548,20121231,2012,COG,127097103,CABOT OIL & GAS CORP,4616.313,131.73,1204.546,858470,22.9299168,6.575561821,7.615515326,2.853576003,10.93607052
660,20548,20131231,2013,COG,127097103,CABOT OIL & GAS CORP,4981.08,279.773,1746.278,858470,44.97395699,7.901695574,112.3836636,5.616713644,16.02110317
661,20548,20141231,2014,COG,127097103,CABOT OIL & GAS CORP,5437.716,104.468,2173.011,858470,24.43671626,9.167409477,-62.65972771,1.921174258,4.807522834
662,20548,20151231,2015,COG,127097103,CABOT OIL & GAS CORP,5261.899,-113.891,1357.15,858470,-37.545185,-3.233287652,-209.019987,-2.164446714,-8.391924253
663,20548,20161231,2016,COG,127097103,CABOT OIL & GAS CORP,5122.569,-417.124,1155.677,858470,-14.84530081,-2.647903352,266.2484305,-8.142867378,-36.09347595
664,20548,20171231,2017,COG,127097103,CABOT OIL & GAS CORP,4727.344,100.393,1764.219,858470,52.65675444,-7.715367036,-124.0679031,2.123666059,5.690506677
665,20548,20181231,2018,COG,127097103,CABOT OIL & GAS CORP,4198.829,557.043,2188.148,858470,24.02927301,-11.17995644,454.8623908,13.26662743,25.45728168
666,20548,20191231,2019,COG,127097103,CABOT OIL & GAS CORP,4487.245,681.07,2066.277,858470,-5.569595841,6.868962751,22.26524703,15.17790983,32.96121478
450,8549,20051231,2005,COP,20825C104,CONOCOPHILLIPS,106999,13529,162405,1163165,0,0,0,12.6440434,8.330408547
451,8549,20061231,2006,COP,20825C104,CONOCOPHILLIPS,164781,15550,167578,1163165,3.18524676,54.00237385,14.93828073,9.436767588,9.279261001
452,8549,20071231,2007,COP,20825C104,CONOCOPHILLIPS,177757,11891,171500,1163165,2.340402678,7.874694291,-23.53054662,6.689469332,6.933527697
453,8549,20081231,2008,COP,20825C104,CONOCOPHILLIPS,142865,-16998,225424,1163165,31.4425656,-19.62904414,-242.9484484,-11.89794561,-7.540457094
454,8549,20091231,2009,COP,20825C104,CONOCOPHILLIPS,152588,4858,136016,1163165,-39.66214777,6.805725685,-128.5798329,3.183736598,3.571638631
