,Year,Ticker,Environmental Disclosure Score,GHG Scope 1,Total Energy Consumption,Change_in_EDS,Change_in_GHG,Change_in_TEC
467,2007,MPC,,,,0.0,0.0,0.0
468,2008,MPC,,,,0.0,0.0,0.0
469,2009,MPC,,,,0.0,0.0,0.0
470,2010,MPC,21.7,10600.0,64974.0,0.0,0.0,0.0
471,2011,MPC,24.0,10100.0,54096.0,10.599078341013835,-4.716981132075471,-16.7420814479638
472,2012,MPC,24.0,9900.0,68796.0,0.0,-1.980198019801982,27.173913043478272
473,2013,MPC,24.0,17200.0,93786.0,0.0,73.73737373737374,36.32478632478633
474,2014,MPC,25.6,17200.0,106428.0,6.666666666666665,0.0,13.479623824451403
475,2015,MPC,40.3,36100.0,106428.0,57.42187499999998,109.88372093023257,0.0
476,2016,MPC,48.1,36900.0,166667.0,19.354838709677423,2.216066481994461,56.600706580974936
477,2017,MPC,48.1,36700.0,166667.0,0.0,-0.5420054200542035,0.0
478,2018,MPC,48.1,36400.0,166667.0,0.0,-0.8174386920980936,0.0
479,2019,MPC,51.9,36800.0,166667.0,7.9002079002078895,1.098901098901095,0.0
480,2005,MRO,24.0,15400.0,74970.0,0.0,0.0,0.0
481,2006,MRO,35.5,14900.0,75558.0,47.91666666666667,-3.2467532467532423,0.7843137254901933
482,2007,MRO,36.4,14600.0,74676.0,2.5352112676056304,-2.0134228187919434,-1.1673151750972721
483,2008,MRO,33.9,14000.0,72000.6,-6.868131868131866,-4.109589041095896,-3.58267716535432
484,2009,MRO,35.5,13700.0,74970.0,4.71976401179941,-2.1428571428571463,4.124132298897498
485,2010,MRO,36.4,3200.0,14700.0,2.5352112676056304,-76.64233576642336,-80.3921568627451
486,2011,MRO,38.0,3200.0,14788.2,4.395604395604402,0.0,0.6000000000000005
487,2012,MRO,38.0,3900.0,20286.0,0.0,21.875,37.17693836978131
488,2013,MRO,34.7,3890.0,22020.6,-8.684210526315784,-0.2564102564102555,8.550724637681162
489,2014,MRO,39.7,3520.0,16522.8,14.4092219020173,-9.511568123393321,-24.966622162883844
