fyear,Ticker,CompanyName,conml
2014,SRE,SEMPRA ENERGY,Sempra Energy
2015,SRE,SEMPRA ENERGY,Sempra Energy
2016,SRE,SEMPRA ENERGY,Sempra Energy
2017,SRE,SEMPRA ENERGY,Sempra Energy
2018,SRE,SEMPRA ENERGY,Sempra Energy
2019,SRE,SEMPRA ENERGY,Sempra Energy
2010,PPL,PPL CORP,PPL Corp
2011,PPL,PPL CORP,PPL Corp
2012,PPL,PPL CORP,PPL Corp
2013,PPL,PPL CORP,PPL Corp
2014,PPL,PPL CORP,PPL Corp
2015,PPL,PPL CORP,PPL Corp
2016,PPL,PPL CORP,PPL Corp
2017,PPL,PPL CORP,PPL Corp
2018,PPL,PPL CORP,PPL Corp
2019,PPL,PPL CORP,PPL Corp
2010,EXC,EXELON CORP,Exelon Corp
2011,EXC,EXELON CORP,Exelon Corp
2012,EXC,EXELON CORP,Exelon Corp
2013,EXC,EXELON CORP,Exelon Corp
2014,EXC,EXELON CORP,Exelon Corp
2015,EXC,EXELON CORP,Exelon Corp
2016,EXC,EXELON CORP,Exelon Corp
2017,EXC,EXELON CORP,Exelon Corp
2018,EXC,EXELON CORP,Exelon Corp
2019,EXC,EXELON CORP,Exelon Corp
2010,COP,CONOCOPHILLIPS,Conocophillips
2011,COP,CONOCOPHILLIPS,Conocophillips
2012,COP,CONOCOPHILLIPS,Conocophillips
2013,COP,CONOCOPHILLIPS,Conocophillips
2014,COP,CONOCOPHILLIPS,Conocophillips
2015,COP,CONOCOPHILLIPS,Conocophillips
2016,COP,CONOCOPHILLIPS,Conocophillips
2017,COP,CONOCOPHILLIPS,Conocophillips
2018,COP,CONOCOPHILLIPS,Conocophillips
2019,COP,CONOCOPHILLIPS,Conocophillips
2010,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
2011,PEG,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc
