ISIN,CompanyName,Country
JP3039710003,JAPAN RETAIL FUND INVESTMENT CORPORATION,Japan
US9396531017,Washington Real Estate Investment Trust,United States
SG1Q52922370,SUNTEC REAL ESTATE INVESTMENT TRUST,Singapore
CA49410M1023,Killam Apartment Real Estate Investment Trust,Canada
GB0006928617,UNITE GROUP PLC (THE),United Kingdom
ZAE000190724,HYPROP INVESTMENTS LIMITED,South Africa
JP3027670003,NIPPON BUILDING FUND INCORPORATED,Japan
HK0405033157,Yuexiu Real Estate Investment Trust,Hong Kong
AU000000ABP9,ABACUS PROPERTY GROUP,Australia
US46590V1008,JBG SMITH PROPERTIES,United States
AU000000SGP0,STOCKLAND CORPORATION LTD,Australia
ES0105025003,MERLIN PROPERTIES SOCIMI SA,Spain
JP3040890000,JAPAN PRIME REALTY INVESTMENT CORPORATION,Japan
US7005171050,PARK HOTELS & RESORTS INC,United States
US8754651060,TANGER FACTORY OUTLET CENTRES INCORPORATED,United States
DE0006013006,HAMBORNER AG,Germany
SG1T22929874,KEPPEL REIT,Singapore
HK0823032773,THE LINK REAL ESTATE INVESTMENT TRUST,Hong Kong
HK2778034606,CHAMPION REAL ESTATE INVESTMENT TRUST,Hong Kong
SG1T60930966,FRASERS CENTREPOINT TRUST,Singapore
US25960P1093,"DOUGLAS EMMETT, INC.",United States
US4278255009,HERSHA HOSPITALITY TRUST,United States
JP3046390005,DAIWA HOUSE REIT INVESTMENT CORP,Japan
JP3040880001,ORIX JREIT Inc.,Japan
AU000000GOZ8,GROWTHPOINT PROPERTIES AUSTRALIA LTD,Australia
US8678921011,"SUNSTONE HOTEL INVESTORS, INC.",United States
AU000000MGR9,MIRVAC GROUP,Australia
SG1M51904654,CAPITAMALL TRUST,Singapore
US2921041065,EMPIRE STATE REALTY TRUST INC,United States
SG2D18969584,MAPLETREE COMMERCIAL TRUST,Singapore
AU000000SCP9,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP RE LIMITED,Australia
SG2C32962814,MAPLETREE INDUSTRIAL TRUST,Singapore
AU000000NSR2,NATIONAL STORAGE REIT,Australia
GB0005522007,MCKAY SECURITIES PLC,United Kingdom
US78440X1019,SL GREEN REALTY CORP.,United States
US82981J1097,SITE CENTERS CORP,United States
GB00B67G5X01,WORKSPACE GROUP PLC,United Kingdom
BE0003678894,BEFIMMO SCA,Belgium
BE0003593044,COFINIMMO S.A.,Belgium
HK0000063476,Doyen International Holdings Limited,Hong Kong
BMG5266H1034,KINGSTON FINANCIAL GROUP LTD,Hong Kong
CA17039A1066,Choice Properties Real Estate Investment Trust,Canada
BRITSAACNPR7,ITAUSA - INVESTIMENTOS ITAU SA,Brazil
GB00BF5H9P87,GREAT PORTLAND ESTATES P.L.C.,United Kingdom
GB00BD7XPJ64,NEWRIVER REIT PLC,United Kingdom
FR0000064578,COVIVIO SA,France
FR0010241638,MERCIALYS,France
KYG2120F1000,China Ding Yi Feng Holdings Limited,Hong Kong
PLBH00000012,BANK HANDLOWY W WARSZAWIE SA,Poland
DE000A0LD2U1,ALSTRIA OFFICE REIT-AG,Germany
GB0002652740,DERWENT LONDON PLC,United Kingdom
GB00B1N7Z094,SAFESTORE HOLDINGS PLC,United Kingdom
INE062A01020,STATE BANK OF INDIA,India
GB00B1YKG049,INTERNATIONAL PERSONAL FINANCE PLC,United Kingdom
ROBRDBACNOR2,BRD GROUPE SOCIETE GENERALE SA,Romania
ZAE000255915,ABSA GROUP LTD,South Africa
PLBIG0000016,BANK MILLENNIUM SA,Poland
ZAE000004875,NEDBANK GROUP LIMITED,South Africa
PHY7311H1463,Rizal Commercial Banking Corporation,Philippines
GB0002869419,BIG YELLOW GROUP PLC,United Kingdom
ZAE000035861,CAPITEC BANK HOLDINGS LIMITED,South Africa
MX01EL000003,GRUPO ELEKTRA SA DE CV,Mexico
TH0068010Z07,TMB BANK PUBLIC COMPANY LIMITED,Thailand
INE095A01012,INDUSIND BANK LTD,India
ZAE000066304,FIRSTRAND LIMITED,South Africa
GRS015003007,ALPHA BANK SA,Greece
PHY077751022,BDO UNIBANK INCORPORATED,Philippines
INE238A01034,AXIS BANK LIMITED,India
PTBCP0AM0015,"BANCO COMERCIAL PORTUGUES, S.A.",Portugal
JP3047550003,NIPPON PROLOGIS REIT INC,Japan
AU000000BEN6,BENDIGO AND ADELAIDE BANK LTD,Australia
ZAE000109815,STANDARD BANK GROUP LIMITED,South Africa
TH0001010006,BANGKOK BANK PUBLIC COMPANY LIMITED,Thailand
NL0000289213,WERELDHAVE N.V.,Netherlands
HU0000061726,OTP BANK NYRT,Hungary
KR7003530003,"Hanwha Investment & Securities Co., Ltd.",South Korea
PHY7571C1000,SECURITY BANK CORPORATION,Philippines
MYL1015OO006,AMMB Holdings Berhad,Malaysia
GB00BYRJ5J14,Primary Health Properties PLC,United Kingdom
TH0016010009,KASIKORNBANK PUBLIC COMPANY LIMITED,Thailand
MYL1023OO000,CIMB GROUP HOLDINGS BERHAD,Malaysia
GB00B14SKR37,CMC MARKETS PLC,United Kingdom
MX41BS060005,BANCO SANTANDER MEXICO SA INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO SANTAND,Mexico
INE528G01035,Yes Bank Limited,India
MX01R0000006,BANREGIO GRUPO FINANCIERO SA,Mexico
GB00BZ6STL67,METRO BANK PLC,United Kingdom
IE00BWB8X525,PERMANENT TSB GROUP HOLDINGS PLC,Ireland
GB0007990962,SHAFTESBURY PLC,United Kingdom
JP3885780001,MIZUHO FINANCIAL GROUP INC,Japan
KR7138930003,BNK FINANCIAL GROUP INC,South Korea
KR7139130009,DGB FINANCIAL GROUP CO LTD,South Korea
KR7316140003,WOORI FINANCIAL GROUP INC,South Korea
MXP370711014,GRUPO FINANCIERO BANORTE S.A.B. DE C.V.,Mexico
GB00B17BBQ50,INVESTEC PLC,South Africa
DE0005408116,AAREAL BANK AG,Germany
AU000000PPT9,Perpetual Limited,Australia
GB00B06QFB75,IG GROUP HOLDINGS PLC,United Kingdom
JE00BJ1DLW90,Man Group plc,Jersey
GB00BD6GN030,CYBG PLC,United Kingdom
KR7175330000,JB FINANCIAL GROUP LTD,South Korea
KR7086790003,HANA FINANCIAL GROUP,South Korea
DK0060036564,Spar Nord Bank A/S,Denmark
DK0010311471,SYDBANK AS,Denmark
AU000000WBC1,WESTPAC BANKING CORPORATION,Australia
IE00BF0L3536,AIB GROUP PLC,Ireland
INE774D01024,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD,India
JE00BVRZ8S85,Sanne Group plc,Jersey
KR7105560007,KB FINANCIAL GROUP INCORPORATION,South Korea
CH0014786500,VALIANT HOLDING AG,Switzerland
INE237A01028,KOTAK MAHINDRA BANK LIMITED,India
NL0000288918,VASTNED RETAIL NV,Netherlands
GB0007668071,CLOSE BROTHERS GROUP PLC,United Kingdom
GB00B2NGPM57,PARAGON BANKING GROUP PLC,United Kingdom
KR7055550008,SHINHAN FINANCIAL GROUP COMPANY LIMITED,South Korea
INE498L01015,L&T Finance Holdings Limited,India
GB00B1H0DZ51,TP ICAP PLC,United Kingdom
GB0001765816,BREWIN DOLPHIN HOLDINGS PLC,United Kingdom
AU000000CBA7,COMMONWEALTH BANK OF AUSTRALIA,Australia
AU000000MQG1,MACQUARIE GROUP LIMITED,Australia
BRBBASACNOR3,BANCO DO BRASIL SA,Brazil
